,Period,Location,Marital-status," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,"Fresh-groceries (Fruits, vegetables)",Medicines-Natural-remedies,Alcohol-beverages,Skin-care (eg. Body lotion),Hair-care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime-Data-bundles
6188,8,63,4,3,1,1,1,1,3,1,3,3,1,3
4266,5,20,0,0,0,3,3,3,3,3,3,3,3,3
6186,8,26,4,3,3,3,3,0,0,0,0,0,0,0
4118,5,50,4,1,1,1,3,2,3,3,2,3,3,1
4872,3,55,5,1,3,3,3,3,1,3,1,1,3,1
5992,10,30,1,3,3,3,2,1,3,2,3,2,1,3
1101,6,27,4,0,3,0,2,2,2,2,0,2,0,0
4039,5,48,4,3,3,3,3,0,0,0,0,0,0,0
5577,10,41,1,3,3,3,3,3,3,3,3,3,3,3
6035,10,32,1,3,3,1,1,3,3,3,3,1,1,1
3922,9,25,1,3,3,1,0,2,1,1,3,1,3,3
3240,0,58,3,3,0,3,0,2,0,0,0,3,3,3
577,12,39,4,3,3,3,0,0,3,2,3,3,0,3
59,2,68,4,3,3,3,0,0,3,3,3,3,3,1
5214,13,65,4,1,1,3,0,0,0,0,0,3,3,1
787,12,29,4,1,1,1,2,3,2,2,2,0,3,1
2728,4,33,1,3,1,3,3,1,3,3,3,3,3,1
4554,3,23,3,3,3,0,0,2,3,0,2,0,0,3
2177,11,29,4,1,1,3,0,0,3,3,1,3,3,3
4231,5,22,0,3,3,3,3,3,3,3,3,3,3,3
6896,7,43,6,0,3,3,0,0,3,0,1,3,3,3
6461,8,40,0,3,3,0,0,3,0,0,3,3,3,0
2131,11,61,4,3,3,3,3,3,3,3,3,3,3,3
1345,6,50,4,1,1,1,1,2,1,3,3,1,1,3
1183,6,24,4,3,3,3,3,2,3,2,3,3,3,3
2034,11,42,1,3,3,3,3,3,3,3,3,3,3,3
6571,8,53,1,1,1,1,1,1,1,1,1,1,1,1
2045,11,61,6,3,3,3,3,3,3,3,3,3,3,3
2173,11,21,3,3,3,1,3,1,0,2,2,2,2,1
6383,8,38,6,3,3,3,3,3,3,3,3,3,3,3
6077,10,44,1,3,1,3,3,0,3,3,3,3,3,2
184,2,54,1,3,1,3,0,0,3,3,0,0,3,1
5612,10,42,4,1,1,1,1,1,1,1,3,3,3,0
3909,9,49,1,1,1,1,1,2,1,1,3,1,1,1
420,2,65,6,3,3,3,3,2,3,3,3,3,0,3
4998,3,65,5,1,1,3,3,2,0,0,0,0,0,3
553,12,48,6,0,1,1,1,3,3,3,3,3,3,3
1397,6,56,4,0,3,1,1,3,3,3,1,1,3,3
6569,8,53,1,1,1,1,1,1,1,1,1,1,1,1
1871,1,33,4,3,0,3,1,1,3,3,3,3,3,3
6036,10,68,4,0,3,3,0,0,3,3,1,1,3,3
3912,9,69,4,1,1,1,3,3,3,0,3,3,3,3
4071,5,65,4,1,1,3,1,2,3,3,3,3,0,3
443,2,22,0,3,3,3,3,3,3,3,3,3,3,3
2847,4,67,1,2,2,2,2,2,2,2,2,2,2,2
6989,7,34,0,0,0,2,2,2,2,2,2,2,2,2
3210,0,30,4,3,3,3,3,2,2,2,0,3,3,3
4900,3,58,7,3,3,3,3,2,0,0,0,0,3,3
6014,10,37,4,2,1,0,1,1,3,0,3,2,1,3
3153,0,41,6,1,0,3,1,0,3,1,0,3,1,3
1650,1,27,3,3,3,3,3,3,3,3,3,3,3,3
6665,7,63,4,3,1,1,1,3,1,3,1,1,3,1
181,2,64,4,3,3,3,0,2,0,0,2,0,0,0
3666,9,26,0,0,0,0,0,0,0,0,0,0,0,0
794,12,67,4,3,3,0,0,0,0,0,3,0,0,0
6449,8,68,4,0,3,0,1,3,3,3,1,1,3,3
