,Period,Year,Month,Location,Gender,Marital-status,Age-group,Occupation,Income-Level," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,"Fresh-groceries (Fruits, vegetables)",Medicines-Natural-remedies,Alcohol-beverages,Skin-care (eg. Body lotion),Hair-care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime-Data-bundles
0,20/03/2024,2024,3,N36,Male,Married,Millennials,Business owner,Middle Income,More,More,More,Same,More,More,More,More,More,More,Same
1,20/03/2024,2024,3,N4,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
2,20/03/2024,2024,3,N12,Male,Married,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Less,Not sure,Not sure,Not sure,Less,Same,Less,Same
3,20/03/2024,2024,3,N20,Female,Married,Gen X,Self employed/Contractor,High Income,More,More,Same,Same,Not sure,Same,Same,Same,Same,Same,Same
4,20/03/2024,2024,3,N28,Female,Married,Gen X,Unemployed,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
5,20/03/2024,2024,3,N11,Female,Married,Millennials,Business owner,Middle Income,More,More,More,Same,Not sure,Same,More,Same,Same,Same,Same
6,20/03/2024,2024,3,N11,Female,Married,Millennials,Business owner,High Income,More,Same,More,Less,More,Same,Same,Less,More,Same,Same
7,20/03/2024,2024,3,N11,Male,Married,Gen Z,Business owner,Middle Income,Same,More,More,Same,Less,Less,More,Same,Same,Same,More
8,20/03/2024,2024,3,N25,Male,Married,Gen X,Self employed/Contractor,High Income,Same,Same,Same,Not sure,Same,Same,Same,Less,Same,Same,More
9,20/03/2024,2024,3,N4,Male,Married,Gen X,Salaried employee,Middle Income,More,More,More,Same,Less,Same,Same,Same,Same,Same,More
10,20/03/2024,2024,3,N25,Female,Married,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Less,Not sure,Same,Less,Less,Same,Less,Same
11,20/03/2024,2024,3,N2,Male,Married,Millennials,Business owner,High Income,Less,Same,Same,Same,Same,Less,Less,Less,Same,Less,Same
12,20/03/2024,2024,3,N11,Male,Married,Millennials,Self employed/Contractor,Middle Income,Less,Same,Same,Same,Same,Same,Less,More,More,Same,Same
13,20/03/2024,2024,3,NK1,Male,Married,Millennials,Self employed/Contractor,Middle Income,Same,Same,More,Less,Less,Same,Not sure,Less,Same,Less,More
14,20/03/2024,2024,3,N2,Female,Married,Millennials,Business owner,Middle Income,Same,Less,Same,Same,Same,Less,Less,Same,Less,Same,Same
15,20/03/2024,2024,3,N14,Female,Married,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Less,Not sure,Not sure,Not sure,Less,Not sure,Less,Less
16,20/03/2024,2024,3,N8,Female,Married,Millennials,Salaried employee,High Income,Same,Same,More,Less,Not sure,Same,Same,Less,Same,Same,Same
17,20/03/2024,2024,3,N14,Female,Married,Millennials,Salaried employee,Low Income,Less,Same,Same,Same,Not sure,Same,Same,Same,Same,Same,Same
18,20/03/2024,2024,3,N14,Male,Married,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,Less,Not sure,Not sure,Less,Not sure,Less,Same
19,20/03/2024,2024,3,N25,Male,Married,Gen X,Self employed/Contractor,High Income,Same,Same,Same,Not sure,Not sure,Same,Same,Same,Same,Same,More
20,20/03/2024,2024,3,N2,Male,Married,Millennials,Self employed/Contractor,High Income,Same,More,Same,Same,Less,Same,Same,Less,Less,Less,Same
21,20/03/2024,2024,3,N36,Female,Married,Gen X,Business owner,High Income,Same,Same,More,More,Less,Less,Same,More,Same,More,Same
